Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
Apply Loan Request,100,21,9,144,23.29,0.000%,100.30090,35.95,45.03,367.0
总体,100,21,9,144,23.29,0.000%,100.30090,35.95,45.03,367.0

