Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
Apply Loan Request,100,21,9,71,16.18,75.000%,95.32888,28.44,42.80,305.5
总体,100,21,9,71,16.18,75.000%,95.32888,28.44,42.80,305.5
